Id-main,Ra(J2000) deg,Dec(J2000) deg,J,eJ,H,eH,Ks,eKs,Types,DCG,Catalog
,296.1207083,-14.84447222,17.811,,,,16.104,,C,0.117374212,demmers
,296.1269167,-14.78975,16.994,,,,14.984,,C,0.103770194,demmers
,296.1280417,-14.7905,17.8,,,,15.905,,C,0.102568337,demmers
,296.1295,-14.78983333,17.657,,,,16.016,,C,0.101194648,demmers
,296.3658333,-14.8525,17.512,,,,15.837,,C,0.145032322,demmers
,296.3695417,-14.87288889,17.162,,,,15.447,,C,0.1566653,demmers
,296.3714583,-14.90411111,17.497,,,,15.546,,C,0.174655752,demmers
,296.3826667,-14.75219444,17.15,,,,15.626,,C,0.160483495,demmers
,296.4017917,-14.73822222,17.502,,,,15.908,,C,0.183133855,demmers
,296.4022917,-14.87413889,17.212,,,,15.705,,C,0.186912198,demmers
,296.4063333,-14.80080556,17.37,,,,15.431,,C,0.176335419,demmers
,296.4102083,-14.84980556,17.29,,,,15.674,,C,0.186526308,demmers
,296.4211667,-14.74713889,17.534,,,,15.979,,C,0.198792226,demmers
,296.4267083,-14.75402778,17.489,,,,15.967,,C,0.202395495,demmers
,296.4300833,-14.76258333,17.477,,,,15.811,,C,0.203865384,demmers
,296.436125,-14.89513889,17.603,,,,15.882,,C,0.226327084,demmers
,296.4425,-14.76263889,17.174,,,,15.292,,C,0.216054802,demmers
,296.461375,-14.85475,17.42,,,,15.618,,C,0.237385503,demmers
,296.4752083,-14.89816667,17.27,,,,15.744,,C,0.263512272,demmers
,296.4792917,-14.69538889,16.708,,,,15.127,,C,0.271001893,demmers
,296.5227083,-14.84297222,17.62,,,,15.747,,C,0.295607886,demmers
,296.545625,-14.90069444,17.423,,,,15.513,,C,0.330794468,demmers
,296.306183,-14.863027,17.451,,16.284,,15.489,,C,0.097818868,Kacharov
,296.316101,-14.679276,17.443,,16.601,,16.179,,C,0.149645158,Kacharov
,296.343781,-14.74656,17.437,,16.532,,16.128,,C,0.126424792,Kacharov
,296.363739,-14.759742,16.528,,15.565,,14.986,,C,0.140157331,Kacharov
,296.313934,-14.783896,17.388,,16.359,,15.668,,C,0.085795288,Kacharov
,296.193542,-14.678253,17.488,,16.498,,16.071,,C,0.128689322,Kacharov
,296.184784,-14.717754,17.435,,16.459,,16.039,,C,0.095322514,Kacharov
,296.138214,-14.72313,17.227,,16.188,,15.542,,C,0.120802324,Kacharov
,296.197662,-14.763362,17.175,,16.255,,15.536,,C,0.050132316,Kacharov
,296.208893,-14.769947,17.025,,16.201,,15.758,,C,0.038103204,Kacharov
,296.199615,-14.7809,18.414,,17.421,,17.201,,C,0.03680545,Kacharov
,296.180084,-14.825297,17.231,,16.366,,15.897,,C,0.055225376,Kacharov
,296.212219,-14.830112,17.27,,16.343,,16.036,,C,0.033542679,Kacharov
,296.194489,-14.842676,17.014,,16.111,,15.568,,C,0.054245029,Kacharov
,296.202057,-14.847754,17.178,,16.174,,15.577,,C,0.053893843,Kacharov
,296.164886,-14.853178,17.217,,16.028,,15.151,,C,0.083023533,Kacharov
,296.179565,-14.858191,17.341,,16.375,,15.818,,C,0.075751651,Kacharov
,296.188385,-14.861088,17.551,,16.547,,16.182,,C,0.07254176,Kacharov
,296.178772,-14.868636,17.478,,16.402,,15.788,,C,0.084313422,Kacharov
,296.168549,-14.87782,17.222,,16.157,,15.564,,C,0.097852174,Kacharov
,296.206696,-14.92662,16.997,,15.861,,15.147,,C,0.127104598,Kacharov
,296.345673,-14.834577,17.219,,16.341,,15.898,,C,0.120262686,Kacharov
,296.346741,-14.855356,17.32,,16.481,,16.022,,C,0.128493765,Kacharov
,296.365631,-14.891643,15.562,,14.712,,14.318,,C,0.16276028,Kacharov
,296.335785,-14.902986,17.233,,16.411,,16.022,,C,0.146476613,Kacharov
,296.275116,-14.926181,18.321,,17.4,,17.123,,C,0.132432785,Kacharov
,296.293854,-14.708783,17.537,,16.573,,16.344,,C,0.112717914,Kacharov
,296.299103,-14.783449,17.48,,16.529,,15.729,,C,0.071464883,Kacharov
,296.134644,-14.67692,17.35,,16.321,,15.771,,C,0.157020156,Kacharov
,296.121368,-14.679315,17.359,,16.399,,16.029,,C,0.163620468,Kacharov
,296.170105,-14.696488,17.366,,16.439,,16.089,,C,0.121039928,Kacharov
,296.20285,-14.700215,17.115,,15.986,,15.382,,C,0.105024947,Kacharov
,296.187347,-14.717557,17.671,,16.723,,16.491,,C,0.094309465,Kacharov
,296.198029,-14.719869,17.606,,16.479,,15.802,,C,0.087826809,Kacharov
,296.103516,-14.723016,17.447,,16.545,,16.07,,C,0.148945137,Kacharov
,296.151001,-14.726998,16.872,,16,,15.486,,C,0.108704874,Kacharov
,296.159454,-14.733295,17.518,,16.572,,15.92,,C,0.098243976,Kacharov
,296.179535,-14.737016,17.065,,16.054,,15.353,,C,0.082017412,Kacharov
,296.179321,-14.742605,17.415,,16.49,,15.87,,C,0.077826957,Kacharov
,296.207184,-14.745038,17.006,,15.993,,15.379,,C,0.06105533,Kacharov
,296.179443,-14.752915,16.663,,15.734,,15.234,,C,0.070235748,Kacharov
