,index,RAJ2000,DEJ2000,Jmag,Hmag,Kmag,SpType,Ref,Rmag
655,,297.161224,-14.292459,17.802,17.075,17.045,dM1.5   ,Kacharov,19.643
656,,297.193909,-14.294868,17.032,16.465,16.212,dM3     ,Kacharov,19.562
657,,297.160309,-14.302498,18.161,17.466,17.205,dM0     ,Kacharov,19.652
658,,297.173523,-14.304831,17.817,17.33,17.05,dM2     ,Kacharov,20.25
659,,297.193878,-14.307225,17.774,17.121,16.909,dM1.5   ,Kacharov,19.726
660,,297.210724,-14.310122,17.649,17.018,16.718,dM3     ,Kacharov,20.046
661,,297.173767,-14.321322,18.275,17.793,17.289,dM5 e   ,Kacharov,21.117
662,,297.204651,-14.32515,17.781,17.125,17.029,dK7     ,Kacharov,18.761
663,,297.171265,-14.329375,17.739,17.068,16.905,dM4.5 e ,Kacharov,20.78
664,,297.149353,-14.33532,17.041,16.773,15.965,K       ,Kacharov,17.687
665,,297.211639,-14.338922,18.101,17.483,17.153,dM4.53  ,Kacharov,20.688
666,,297.161255,-14.3425,16.41,15.743,15.544,dM3     ,Kacharov,18.9
667,,297.206085,-14.347786,17.681,17.074,16.879,dM3     ,Kacharov,20.596
668,,297.139404,-14.352262,18.128,17.665,17.304,dM3     ,Kacharov,20.581
669,,297.153961,-14.360078,17.469,16.917,16.496,dM6 e   ,Kacharov,21.736
670,,297.211029,-14.376673,17.19,16.61,16.226,dM6 e   ,Kacharov,21.67
671,,297.202271,-14.3802,18.048,17.394,17.222,dM3     ,Kacharov,20.526
672,,296.948669,-14.282547,17.247,16.617,16.438,dM1.5   ,Kacharov,19.164
673,,296.952179,-14.285142,17.218,16.602,16.371,dM0     ,Kacharov,18.795
674,,296.991333,-14.290698,17.848,17.314,16.943,dM3.5   ,Kacharov,20.862
675,,297.019135,-14.296878,18.136,17.52,17.298,dM3.5   ,Kacharov,21.572
676,,296.964722,-14.299945,16.726,16.204,15.882,dM3     ,Kacharov,19.808
677,,296.923645,-14.303656,17.635,17.044,16.813,dM1.5   ,Kacharov,19.951
678,,296.936279,-14.305859,17.659,17.029,16.808,dM1.5   ,Kacharov,19.49
679,,296.930145,-14.308464,17.777,17.44,16.951,dM3     ,Kacharov,20.577
680,,297.024963,-14.310925,17.856,17.26,16.923,dM1.5   ,Kacharov,19.963
681,,296.970581,-14.314083,18.075,17.436,17.237,dM1.5   ,Kacharov,20.087
682,,296.938538,-14.317039,17.72,17.069,16.846,dM3.5   ,Kacharov,20.701
683,,297.027313,-14.32887,18.067,17.623,17.274,dM      ,Kacharov,21.988
684,,296.957794,-14.331817,17.547,17.1,16.708,dM3.5   ,Kacharov,20.741
685,,296.995422,-14.335114,17.862,17.323,17.01,dM3.5   ,Kacharov,20.621
686,,296.97406,-14.339691,18.259,17.784,17.415,dM      ,Kacharov,21.622
687,,297.011963,-14.3455,18.038,17.354,16.989,dM0     ,Kacharov,19.885
688,,297.013916,-14.348797,18.201,17.552,16.944,--      ,Kacharov,20.879
689,,296.996124,-14.351164,18.032,17.527,17.282,dM3     ,Kacharov,20.997
690,,296.95752,-14.363795,18.022,17.281,17.01,dM      ,Kacharov,22.152
691,,296.964783,-14.368781,17.611,17.0,16.747,dM1.5   ,Kacharov,19.889
692,,296.942719,-14.373831,17.839,17.114,16.891,dM4     ,Kacharov,21.102
693,,296.930756,-14.377884,17.241,16.724,16.363,dM4.5 e ,Kacharov,21.521
694,,296.938354,-14.381606,17.528,16.902,16.637,dM3     ,Kacharov,20.596
695,,296.981598,-14.386964,18.128,17.547,17.365,dM      ,Kacharov,21.985
696,,297.006256,-14.394895,18.126,17.297,17.202,dM3     ,Kacharov,20.348
697,,297.025116,-14.436872,17.775,17.192,16.831,dM3     ,Kacharov,20.694
698,,296.974823,-14.447328,17.896,17.283,17.053,dM      ,Kacharov,22.166
699,,297.028107,-14.45823,17.57,17.079,16.704,dM1.5   ,Kacharov,19.843
700,,296.975769,-14.466044,18.236,17.514,17.185,--      ,Kacharov,18.471
701,,297.018646,-14.468082,16.712,16.068,15.835,dM2     ,Kacharov,19.104
702,,296.954742,-14.47366,18.343,17.804,17.385,K       ,Kacharov,22.591
703,,297.014343,-14.477056,18.167,17.555,17.215,dM      ,Kacharov,21.46
704,,296.968933,-14.48323,17.727,17.076,16.816,dM      ,Kacharov,20.872
705,,297.023346,-14.493817,18.165,17.555,17.168,dM      ,Kacharov,21.156
706,,297.016083,-14.503956,18.178,17.632,17.433,dM      ,Kacharov,21.259
707,,297.018768,-14.510902,18.148,17.651,17.346,dM3     ,Kacharov,20.503
708,,296.937805,-14.516788,17.791,17.1,16.94,dM0     ,Kacharov,19.436
709,,297.006958,-14.520561,17.413,16.788,16.564,dM3     ,Kacharov,20.277
710,,297.020477,-14.523369,18.044,17.363,17.141,dM3     ,Kacharov,20.379
711,,296.953674,-14.526256,18.052,17.447,17.269,dM1.5   ,Kacharov,20.05
712,,296.932526,-14.52895,16.632,15.979,15.793,dM1.5   ,Kacharov,18.61
713,,297.018127,-14.533105,17.651,17.046,16.895,dK7     ,Kacharov,18.94
714,,296.975586,-14.536401,17.165,16.641,16.351,dM4.5   ,Kacharov,20.393
715,,296.964935,-14.538761,16.722,16.023,15.882,dM1.5   ,Kacharov,18.523
716,,295.645844,-15.270988,18.097,17.564,17.253,dM3.5   ,Kacharov,21.027
717,,295.638458,-15.305284,17.652,16.911,16.703,dK      ,Kacharov,18.308
718,,295.612732,-15.336275,17.83,17.128,16.957,dK      ,Kacharov,18.072
719,,295.644928,-15.342483,17.427,16.796,16.615,dK      ,Kacharov,17.846
720,,295.591583,-15.346883,16.991,16.276,15.991,dK      ,Kacharov,18.352
721,,295.618652,-15.359362,17.498,16.892,16.726,dK      ,Kacharov,21.326
722,,295.584229,-15.363297,17.197,16.553,16.344,dK      ,Kacharov,18.206
723,,295.622314,-15.17592,18.314,17.515,17.276,M       ,Kacharov,20.969
724,,295.683594,-15.186219,18.208,17.596,17.426,dM      ,Kacharov,21.99
725,,295.689667,-15.155052,17.736,16.787,16.428,--      ,Kacharov,24.553
726,,295.688568,-15.211617,17.775,17.153,16.833,dM0     ,Kacharov,20.194
727,,295.460785,-15.123086,18.389,17.712,17.401,dM      ,Kacharov,20.475
728,,295.456573,-15.136149,17.643,16.952,16.724,dM0     ,Kacharov,18.275
729,,295.464996,-15.146566,17.472,16.739,16.559,dM0     ,Kacharov,19.33
730,,295.434204,-15.201089,16.736,16.063,15.827,--      ,Kacharov,19.391
731,,295.503571,-15.209061,18.138,17.388,17.182,dM0     ,Kacharov,18.599
732,,295.485199,-15.273877,17.789,16.997,16.8,K7III   ,Kacharov,19.066
733,,295.416962,-15.29779,18.304,17.561,17.378,dM      ,Kacharov,21.676
