Sp,Seq,RAJ2000,DEJ2000,Dist,Rmag,Jmag,Hmag,Kmag,SpTph,SpType,q_SpType,Nsp,Simbad
 , ,deg,deg,deg,mag,mag,mag,mag, , , , ,
--,------,----------,----------,--------,------,------,------,------,---,--------,-,-,------
sp,73481,296.266541,-14.637911,0.167541,19.64,17.655,17.002,16.85,M  ,dM0     ,4,1,Simbad
sp,73816,296.326508,-14.641376,0.183421,19.64,16.649,15.697,15.114,C  ,C5.5    ,6,1,Simbad
sp,74372,296.279144,-14.647496,0.160629,20.201,17.865,16.998,16.804,M  ,M0III   ,4,1,Simbad
sp,74650,296.31723,-14.650301,0.171237,19.966,17.816,17.241,17.037,M  ,dM1.5III,5,1,Simbad
sp,74939,296.275116,-14.653234,0.154113,19.697,17.484,16.612,16.452,M  ,M0III   ,4,1,Simbad
sp,75203,296.334686,-14.656092,0.174821,20.152,17.954,17.353,17.134,M  ,dM1.5   ,4,1,Simbad
sp,75443,296.300446,-14.658543,0.156764,19.852,17.553,16.881,16.693,M  ,dM2     ,4,1,Simbad
sp,75858,296.31543,-14.663013,0.159116,21.691,17.486,16.845,16.571,M  ,M4III   ,4,1,Simbad
sp,79984,296.263336,-14.708953,0.097176,20.958,17.071,16.053,15.567,C  ,C       ,4,1,Simbad
sp,80566,296.264954,-14.715384,0.091354,20.125,17.411,16.435,16.041,C  ,C6.5    ,5,1,Simbad
sp,80813,296.237854,-14.718291,0.085183,18.971,17.509,16.693,16.529,M  ,M0III   ,4,1,Simbad
sp,81082,296.330536,-14.721181,0.121882,20.879,17.693,16.83,16.557,M  ,M4III   ,6,1,Simbad
sp,81620,296.280762,-14.726241,0.087016,19.971,18.015,17.146,17.061,M  ,C6.5    ,5,1,Simbad
sp,81886,296.31192,-14.728691,0.103314,20.084,17.538,16.72,15.967,C  ,C6.5    ,5,1,Simbad
sp,83058,296.318024,-14.739033,0.100712,19.599,17.173,16.378,15.97,C  ,C5.5    ,5,1,Simbad
sp,83368,296.283783,-14.741738,0.075309,20.344,18.103,17.246,16.869,C  ,C5.5    ,5,1,Simbad
sp,83737,296.339813,-14.745103,0.115097,19.951,18.044,16.882,16.328,C  ,C6.5    ,5,1,Simbad
sp,84531,296.276062,-14.751641,0.062772,20.366,17.531,16.642,16.026,C  ,C6.5    ,5,1,Simbad
sp,84882,296.244446,-14.754674,0.048908,19.349,17.25,16.494,16.217,M  ,C5.5    ,5,1,Simbad
sp,85196,296.252136,-14.757003,0.047841,19.901,17.914,16.978,16.427,C  ,C5.5    ,5,1,Simbad
sp,85520,296.284271,-14.759642,0.06185,19.962,17.737,16.992,16.736,M  ,M0III   ,4,1,Simbad
